Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,HasCabin,FamilySize,IsAlone,Title
0,3,0,-0.8731358343600393,1,0,-0.3158749827375353,2,0,0.059159876663617626,0,3
0,3,1,-1.7184841108942424,4,1,0.19912192715998075,2,0,2.5396987052416584,0,0
0,3,1,-0.6425863043961658,0,0,-0.5511676885730651,2,0,-0.5609748304808925,1,2
1,1,0,1.5092093085999871,1,0,1.0706861093347755,0,1,0.059159876663617626,0,3
1,2,0,-0.027787557825836348,1,0,-0.12293496395240078,2,0,0.059159876663617626,0,3
0,1,1,2.738806801740646,0,1,0.7236293682273689,0,1,0.059159876663617626,0,2
1,1,1,-0.10463740114712752,0,0,0.10059310659135261,2,1,-0.5609748304808925,1,2
1,2,0,-0.6425863043961658,0,0,-0.4876386579974721,2,0,-0.5609748304808925,1,1
0,3,1,-0.06621247948648194,0,0,-0.5645981962221572,0,0,-0.5609748304808925,1,2
1,2,0,-1.8721837975368247,1,2,-0.08175874043118304,2,0,1.299429290952638,0,1
0,3,1,-1.4110847376090776,5,2,0.36882679124385664,2,0,3.779968119530679,0,0
0,3,1,-0.5657364610748746,0,0,-0.5645981962221572,0,0,-0.5609748304808925,1,2
1,1,0,0.6638610320657843,0,0,1.1476456475594605,2,1,-0.5609748304808925,1,1
0,1,1,1.2018099353148226,1,0,1.229409862837307,2,1,0.059159876663617626,0,2
0,3,1,-1.949033640858116,3,2,-0.07822934984365013,2,0,2.5396987052416584,0,0
0,1,1,-0.10463740114712752,0,0,-0.08244579513222278,0,0,-0.5609748304808925,1,2
1,3,1,-0.10463740114712752,1,1,-0.3759734456620463,0,0,0.6792945838081278,0,0
1,2,0,-0.027787557825836348,0,0,-0.4876386579974721,2,1,-0.5609748304808925,1,3
0,3,1,-0.7962859910387481,0,0,-0.5427371509229781,2,0,-0.5609748304808925,1,2
1,3,0,-0.9499856776813305,4,2,-0.548226529750121,2,0,3.1598334123861687,0,1
0,3,1,-0.2583370877897099,2,0,-0.5308736926947507,2,0,0.6792945838081278,0,2
0,2,1,0.20276197213803718,0,0,-0.4876386579974721,2,0,-0.5609748304808925,1,2
0,3,0,-1.0268355210026217,5,2,0.36882679124385664,2,0,3.779968119530679,0,1
0,2,1,-0.6425863043961658,0,0,0.994705388766366,2,0,-0.5609748304808925,1,2
0,3,1,-0.2583370877897099,1,0,-0.3945992162559869,0,0,0.059159876663617626,0,2
1,3,1,0.20276197213803718,0,0,0.5946089659095145,2,0,-0.5609748304808925,1,2
0,3,1,-0.33518693111100106,0,0,-0.5546970791605981,2,1,-0.5609748304808925,1,2
0,3,1,-0.10463740114712752,0,0,-0.5489135844511608,2,0,-0.5609748304808925,1,2
0,3,1,-0.10463740114712752,0,0,-0.5452853709271769,2,0,-0.5609748304808925,1,2
1,2,1,-2.192647644186609,0,2,-0.052347152201741805,2,0,0.6792945838081278,0,0
1,3,0,0.04906228549545483,0,0,-0.44116834859495496,2,0,-0.5609748304808925,1,1
0,3,1,-0.5657364610748746,0,0,-0.5229325638728015,2,0,-0.5609748304808925,1,2
1,3,1,-0.027787557825836348,0,0,-0.5111679285810251,2,0,-0.5609748304808925,1,2
1,3,0,-0.10463740114712752,0,0,-0.5514618044553596,1,0,-0.5609748304808925,1,1
0,1,1,-0.10463740114712752,0,0,0.3735326453605673,2,0,-0.5609748304808925,1,2
1,2,0,-0.9499856776813305,0,0,-0.4876386579974721,2,0,-0.5609748304808925,1,1
1,3,0,0.27961181545932834,3,0,-0.3617570603754636,2,0,1.299429290952638,0,3
0,3,1,-1.0268355210026217,1,3,0.0741226771848555,2,0,1.9195639980971482,0,2
0,3,1,-0.10463740114712752,0,0,-0.5452853709271769,2,0,-0.5609748304808925,1,2
1,1,0,-0.48888661775358344,3,2,5.124238728242953,2,1,2.5396987052416584,0,1
0,3,1,-0.41203677443229225,0,0,-0.5452853709271769,2,0,-0.5609748304808925,1,2
0,3,1,-0.027787557825836348,0,0,-0.5452853709271769,2,0,-0.5609748304808925,1,2
0,3,1,-0.719436147717457,0,0,-0.5498924021074366,2,0,-0.5609748304808925,1,2
0,1,1,1.2786597786361138,1,0,0.7047071288240755,2,1,0.059159876663617626,0,2
0,3,1,-0.2583370877897099,1,2,-0.25058125686817573,2,0,1.299429290952638,0,2
0,3,1,2.277707741812899,0,0,-0.5641087873940193,2,0,-0.5609748304808925,1,2
0,3,1,-0.10463740114712752,0,0,-0.5452853709271769,2,0,-0.5609748304808925,1,2
0,1,1,3.1999058616683933,0,0,0.08069204953178356,0,1,-0.5609748304808925,1,2
1,1,1,-0.48888661775358344,0,1,0.7560785852891467,0,1,0.059159876663617626,0,2
1,2,0,0.35646165878061953,0,1,-0.19352277570305973,2,0,0.059159876663617626,0,3
0,2,1,0.35646165878061953,1,0,-0.12293496395240078,2,0,0.059159876663617626,0,2
0,3,0,-0.10463740114712752,0,0,-0.5489135844511608,2,0,-0.5609748304808925,1,1
0,3,1,-0.10463740114712752,0,0,-0.5489135844511608,2,0,-0.5609748304808925,1,2
0,1,1,-0.6425863043961658,0,1,1.083822501101573,2,1,0.059159876663617626,0,2
0,3,1,0.27961181545932834,0,0,-0.5310689856405942,2,0,-0.5609748304808925,1,2
0,3,1,0.5870111887444931,2,0,-0.548226529750121,2,0,0.6792945838081278,0,2
0,3,1,-0.10463740114712752,0,0,-0.5489135844511608,2,0,-0.5609748304808925,1,2
1,3,0,-0.6425863043961658,0,0,-0.5546970791605981,2,0,-0.5609748304808925,1,1
1,3,1,-0.10463740114712752,0,0,-0.551755920337654,2,0,-0.5609748304808925,1,2
0,3,1,0.6638610320657843,0,0,-0.5489135844511608,2,0,-0.5609748304808925,1,2
1,3,0,-0.10463740114712752,1,0,-0.16646411453197382,1,0,0.059159876663617626,0,1
0,1,1,1.3555096219574048,0,0,0.4888260712199769,2,1,-0.5609748304808925,1,2
0,3,0,-1.1421102859845584,1,0,-0.3945992162559869,0,0,0.059159876663617626,0,1
0,3,1,-0.5657364610748746,0,0,-0.5452853709271769,2,0,-0.5609748304808925,1,2
0,3,0,-0.719436147717457,1,0,-0.5035209156413704,2,0,0.059159876663617626,0,1
0,3,0,-0.9499856776813305,0,0,-0.39450274624659437,0,0,-0.5609748304808925,1,1
0,3,1,-0.6425863043961658,0,0,-0.548226529750121,2,0,-0.5609748304808925,1,2
0,3,1,3.1614809400077477,0,0,-0.5523441521022427,1,0,-0.5609748304808925,1,2
0,2,1,-0.027787557825836348,1,0,-0.2405813168701657,2,0,0.059159876663617626,0,2
0,1,1,-0.41203677443229225,0,1,5.089287879132724,0,1,0.059159876663617626,0,2
0,3,0,-2.1027333275006983,4,2,0.0011819383758412065,2,0,3.1598334123861687,0,1
0,2,1,-0.6425863043961658,2,0,0.994705388766366,2,0,0.6792945838081278,0,2
0,3,1,-0.10463740114712752,0,0,-0.5452853709271769,2,0,-0.5609748304808925,1,2
0,2,1,0.24118689379868277,1,0,-0.027152009260873307,0,0,0.059159876663617626,0,2
1,2,0,0.24118689379868277,0,0,-0.4288154815385896,2,1,-0.5609748304808925,1,1
0,1,1,1.893458525206443,0,1,1.083822501101573,2,1,0.059159876663617626,0,2
1,3,1,-1.3342348942877864,1,0,-0.4701869980056509,0,0,0.059159876663617626,0,0
0,3,1,-0.10463740114712752,0,0,-0.5523441521022427,1,0,-0.5609748304808925,1,2
1,3,1,-0.41203677443229225,0,0,-0.5666570073982181,2,0,-0.5609748304808925,1,2
1,3,0,-0.10463740114712752,1,1,-0.20862150863652568,0,1,0.6792945838081278,0,1
0,3,1,1.2018099353148226,0,0,-0.5705793368044965,2,0,-0.5609748304808925,1,2
0,3,1,0.27961181545932834,0,0,-0.5489135844511608,0,0,-0.5609748304808925,1,2
0,3,1,-0.719436147717457,0,0,-0.5688146415107299,2,0,-0.5609748304808925,1,2
0,3,0,1.3555096219574048,1,0,-0.3935215756632601,2,0,0.059159876663617626,0,3
1,2,0,-0.027787557825836348,1,0,-0.12293496395240078,2,0,0.059159876663617626,0,3
0,2,1,-0.33518693111100106,0,0,-0.4288154815385896,2,0,-0.5609748304808925,1,2
0,2,1,-0.48888661775358344,0,0,-0.3806792997787569,0,0,-0.5609748304808925,1,2
1,1,0,-0.7962859910387481,0,2,-0.1162691215960802,2,1,0.6792945838081278,0,1
0,1,1,0.5870111887444931,1,0,0.5147082688618853,2,1,0.059159876663617626,0,2
0,3,1,-1.0268355210026217,0,0,-0.5178337709373456,2,0,-0.5609748304808925,1,2
0,1,1,-0.41203677443229225,0,0,1.1288222310926181,0,1,-0.5609748304808925,1,2
0,3,0,-0.10463740114712752,0,2,-0.3759734456620463,0,0,0.6792945838081278,0,3
1,3,0,-0.5657364610748746,0,0,-0.5523441521022427,2,0,-0.5609748304808925,1,1
1,3,0,-0.41203677443229225,1,0,-0.3617570603754636,2,0,0.059159876663617626,0,3
0,3,1,-0.7962859910387481,0,0,-0.5758734226857958,1,0,-0.5609748304808925,1,2
0,2,1,-0.8731358343600393,0,0,-0.4641093874139191,2,0,-0.5609748304808925,1,2
0,2,1,-0.7962859910387481,1,1,0.13000469482079385,2,0,0.6792945838081278,0,2
1,3,1,-0.1814872444684187,0,0,-0.5512665115095161,2,0,-0.5609748304808925,1,2
0,3,0,-1.56478442425166,2,2,0.0741226771848555,2,0,1.9195639980971482,0,1
0,2,1,0.5485862670838475,0,2,-0.12293496395240078,2,1,0.6792945838081278,0,2
0,2,1,0.9712604053509489,0,0,-0.4288154815385896,2,0,-0.5609748304808925,1,4
0,2,1,1.6629089952425695,0,0,-0.43999188506577724,2,0,-0.5609748304808925,1,4
1,1,0,-0.5657364610748746,1,0,0.8323534217398503,2,1,0.059159876663617626,0,3
0,3,1,2.00873329018838,0,0,-0.5452853709271769,2,0,-0.5609748304808925,1,2
0,3,1,0.8559856403690123,0,2,-0.3935215756632601,2,0,0.6792945838081278,0,2
0,3,1,-0.10463740114712752,0,0,-0.5626382079825473,2,0,-0.5609748304808925,1,2
0,1,1,1.6629089952425695,0,1,0.7095118058772371,0,0,0.059159876663617626,0,2
1,3,0,-1.0268355210026217,0,0,-0.5527370909209881,1,0,-0.5609748304808925,1,1
0,3,1,0.04906228549545483,0,0,-0.5452853709271769,2,0,-0.5609748304808925,1,2
0,3,1,-0.10463740114712752,0,0,-0.5308736926947507,2,0,-0.5609748304808925,1,2
0,3,1,-0.10463740114712752,8,2,0.9017647699613317,2,0,5.64037224096421,0,0
0,3,1,1.1249600919935314,0,1,-0.3558747427295753,2,0,0.059159876663617626,0,2
1,2,0,0.8175607187083667,0,0,-0.3641099874338189,2,0,-0.5609748304808925,1,3
0,3,1,-0.2583370877897099,0,0,-0.551755920337654,2,0,-0.5609748304808925,1,2
0,3,1,-0.9499856776813305,0,0,-0.5308736926947507,2,0,-0.5609748304808925,1,2
0,3,1,-2.1795831708219895,4,1,0.19912192715998075,2,0,2.5396987052416584,0,0
1,3,1,-1.56478442425166,0,2,-0.2517577203973534,2,0,0.6792945838081278,0,0
1,1,0,-0.10463740114712752,0,1,0.5594138829706359,2,1,0.059159876663617626,0,3
0,3,0,1.2018099353148226,1,4,-0.07822934984365013,2,0,2.5396987052416584,0,3
0,1,1,-0.10463740114712752,0,0,-0.12469965924616723,2,0,-0.5609748304808925,1,2
0,3,1,-0.10463740114712752,0,0,0.5946089659095145,2,0,-0.5609748304808925,1,2
0,1,1,2.4314074284554814,0,0,0.05353456542424664,2,1,-0.5609748304808925,1,2
0,3,1,-1.949033640858116,4,1,-0.04940599337879768,1,0,2.5396987052416584,0,0
1,3,0,-2.1795831708219895,1,1,-0.47273757093690794,2,0,0.6792945838081278,0,1
0,3,1,-0.6425863043961658,0,0,-0.548226529750121,2,0,-0.5609748304808925,1,2
0,1,1,2.0471582118490255,0,0,-0.012446215146152687,0,1,-0.5609748304808925,1,2
0,3,1,-0.8731358343600393,1,1,-0.5498924021074366,2,0,0.6792945838081278,0,2
0,3,1,-0.10463740114712752,3,1,-0.1354831239546096,2,0,1.9195639980971482,0,0
0,1,0,1.5860591519212783,0,0,-0.05911181749451332,0,1,-0.5609748304808925,1,1
0,2,1,0.04906228549545483,0,0,-0.4288154815385896,2,0,-0.5609748304808925,1,2
0,3,1,0.5101613454232019,0,0,-0.7346959991247785,2,0,-0.5609748304808925,1,2
0,3,0,-0.10463740114712752,8,2,0.9017647699613317,2,0,5.64037224096421,0,1
0,2,1,-0.10463740114712752,0,0,-0.38058047684230595,0,0,-0.5609748304808925,1,2
0,3,1,-1.56478442425166,4,2,0.003828981316490934,2,0,3.1598334123861687,0,0
1,2,1,-2.1795831708219895,2,1,0.18294555363378806,2,1,1.299429290952638,0,0
1,3,0,-1.949033640858116,0,2,-0.21646381452202393,2,0,0.6792945838081278,0,1
0,1,1,-0.10463740114712752,0,0,0.44176753005287095,2,1,-0.5609748304808925,1,2
1,3,0,-0.10463740114712752,1,0,-0.36999230507970715,1,0,0.059159876663617626,0,3
1,1,1,1.2018099353148226,0,0,-0.10999386513144661,2,0,-0.5609748304808925,1,2
0,3,1,0.8175607187083667,1,1,-0.36999230507970715,1,0,0.6792945838081278,0,2
0,3,1,0.5101613454232019,0,0,-0.5489135844511608,2,0,-0.5609748304808925,1,2
1,2,0,0.20276197213803718,0,0,-0.4288154815385896,2,0,-0.5609748304808925,1,3
0,2,1,-0.7962859910387481,0,0,-0.4288154815385896,2,0,-0.5609748304808925,1,2
1,3,0,-0.7962859910387481,1,0,-0.5498924021074366,2,0,0.059159876663617626,0,1
1,2,1,-2.025883484179407,1,1,-0.12293496395240078,2,1,0.6792945838081278,0,0
1,1,0,1.1249600919935314,0,0,-0.08244579513222278,0,1,-0.5609748304808925,1,3
1,1,0,2.200857898491608,0,0,2.7128315501938722,0,1,-0.5609748304808925,1,1
0,3,1,-0.10463740114712752,0,0,-0.5523441521022427,1,0,-0.5609748304808925,1,2
0,3,1,0.9712604053509489,0,1,-0.5369513032864824,2,0,0.059159876663617626,0,2
1,3,0,-0.10463740114712752,0,0,-0.5523441521022427,1,0,-0.5609748304808925,1,1
0,2,0,-0.41203677443229225,0,0,-0.4288154815385896,2,0,-0.5609748304808925,1,1
0,3,1,-0.10463740114712752,0,0,-0.5111679285810251,2,0,-0.5609748304808925,1,2
0,3,1,-0.10463740114712752,8,2,0.9017647699613317,2,0,5.64037224096421,0,2
0,3,1,0.35646165878061953,0,0,-0.581854563268135,2,0,-0.5609748304808925,1,2
0,3,1,1.2402348569754682,0,0,-0.5646970191586081,0,0,-0.5609748304808925,1,2
1,3,1,-0.8731358343600393,0,0,-0.5452853709271769,2,0,-0.5609748304808925,1,2
0,3,0,-2.1027333275006983,0,1,-0.48852100564435524,2,1,0.059159876663617626,0,1
0,3,1,0.20276197213803718,1,0,-0.3617570603754636,2,0,0.059159876663617626,0,2
1,3,1,-0.2583370877897099,0,0,-0.29263982803627664,0,0,-0.5609748304808925,1,2
1,3,0,-1.0268355210026217,0,0,-0.5523441521022427,1,0,-0.5609748304808925,1,1
1,1,1,0.8175607187083667,0,0,-0.005288611034635832,0,1,-0.5609748304808925,1,2
0,3,1,-0.41203677443229225,0,0,-0.5688146415107299,2,0,-0.5609748304808925,1,2
1,2,0,0.4333115021019107,0,0,-0.2405813168701657,2,0,-0.5609748304808925,1,1
0,3,1,-0.5657364610748746,0,0,-0.5641087873940193,2,0,-0.5609748304808925,1,2
0,2,1,0.04906228549545483,0,0,-0.4288154815385896,2,0,-0.5609748304808925,1,2
0,3,1,-0.10463740114712752,1,0,-0.5523441521022427,1,0,0.059159876663617626,0,2
1,1,0,0.12591212881674602,1,0,1.9305821262271863,0,1,0.059159876663617626,0,1
1,3,0,-0.1814872444684187,0,0,-0.548226529750121,2,0,-0.5609748304808925,1,1
0,2,1,0.9712604053509489,1,0,-0.09940569336884779,2,0,0.059159876663617626,0,2
1,1,0,0.20276197213803718,0,0,1.060392053454471,0,1,-0.5609748304808925,1,1
0,2,1,0.04906228549545483,0,0,-0.4876386579974721,2,0,-0.5609748304808925,1,2
1,3,1,-1.0268355210026217,0,0,-0.5452853709271769,2,0,-0.5609748304808925,1,2
0,2,1,-0.1814872444684187,0,0,-0.4288154815385896,2,0,-0.5609748304808925,1,2
0,3,1,1.6629089952425695,0,0,-0.5452853709271769,2,0,-0.5609748304808925,1,2
0,3,1,-0.10463740114712752,0,0,-0.5489135844511608,2,0,-0.5609748304808925,1,2
1,1,1,0.6638610320657843,1,0,1.3829383533949904,2,1,0.059159876663617626,0,2
0,3,1,-0.5657364610748746,0,0,-0.5146973191685581,2,0,-0.5609748304808925,1,2
1,2,1,-0.7962859910387481,0,0,-0.4876386579974721,2,0,-0.5609748304808925,1,2
0,3,1,-0.6810112260568114,0,0,-0.5641087873940193,2,0,-0.5609748304808925,1,2
0,2,1,-0.8731358343600393,0,0,-0.4288154815385896,2,0,-0.5609748304808925,1,2
0,3,0,-0.10463740114712752,3,1,-0.1354831239546096,2,0,1.9195639980971482,0,1
1,1,0,0.4333115021019107,1,0,1.229409862837307,2,1,0.059159876663617626,0,3
0,3,1,-0.027787557825836348,0,0,-0.551755920337654,2,0,-0.5609748304808925,1,2
0,2,1,2.277707741812899,0,0,-0.4170508462468131,2,0,-0.5609748304808925,1,2
1,3,0,-1.8721837975368247,4,2,0.003828981316490934,2,0,3.1598334123861687,0,1
0,2,1,-0.41203677443229225,0,0,-0.4876386579974721,2,0,-0.5609748304808925,1,2
0,3,0,-0.10463740114712752,0,0,-0.5570500062189534,2,0,-0.5609748304808925,1,1
0,2,1,1.1249600919935314,1,0,-0.12293496395240078,2,0,0.059159876663617626,0,2
1,2,0,-1.6416342675729512,0,2,-0.11705264630651252,2,0,0.6792945838081278,0,1
0,2,1,-0.7962859910387481,0,0,-0.4876386579974721,2,0,-0.5609748304808925,1,2
0,2,1,0.27961181545932834,0,0,-0.4458742027116655,2,0,-0.5609748304808925,1,2
0,3,0,-0.10463740114712752,1,0,-0.3945992162559869,0,0,0.059159876663617626,0,1
1,3,0,-0.10463740114712752,1,0,-0.36999230507970715,1,0,0.059159876663617626,0,1
0,2,1,-0.027787557825836348,0,0,-0.4876386579974721,2,0,-0.5609748304808925,1,2
0,3,1,-0.5657364610748746,0,0,-0.5670499462169634,2,0,-0.5609748304808925,1,2
0,3,1,0.04906228549545483,0,0,-0.5646970191586081,0,0,-0.5609748304808925,1,2
0,1,1,1.1249600919935314,2,0,1.3829383533949904,1,1,0.6792945838081278,0,4
0,3,0,-0.33518693111100106,0,0,-0.551755920337654,2,0,-0.5609748304808925,1,1
1,2,0,-0.41203677443229225,0,2,-0.3935215756632601,2,0,0.6792945838081278,0,3
1,1,1,0.5870111887444931,1,1,0.501865992977382,2,1,0.6792945838081278,0,2
0,2,1,1.893458525206443,1,0,-0.12293496395240078,2,0,0.059159876663617626,0,4
0,3,1,-0.10463740114712752,0,0,-0.5641087873940193,2,0,-0.5609748304808925,1,2
0,3,0,-0.027787557825836348,1,1,-0.48852100564435524,2,1,0.6792945838081278,0,3
0,1,1,2.5082572717767726,0,0,-0.10999386513144661,2,1,-0.5609748304808925,1,2
0,3,1,0.04906228549545483,1,0,-0.3558747427295753,2,0,0.059159876663617626,0,2
0,3,0,0.8944105620296577,0,2,-0.2591106174547137,2,0,0.6792945838081278,0,3
1,3,0,-0.027787557825836348,0,2,-0.3759734456620463,0,0,0.6792945838081278,0,3
1,1,0,-0.10463740114712752,0,0,1.1288222310926181,0,0,-0.5609748304808925,1,3
1,1,0,0.04906228549545483,0,0,1.3005859063525549,2,1,-0.5609748304808925,1,1
1,1,0,0.4333115021019107,0,0,5.124238728242953,0,0,-0.5609748304808925,1,1
1,2,0,1.5860591519212783,0,1,-0.12293496395240078,2,0,0.059159876663617626,0,3
0,3,1,-0.10463740114712752,0,0,-0.5523441521022427,1,0,-0.5609748304808925,1,2
1,3,1,-2.025883484179407,4,2,0.003828981316490934,2,0,3.1598334123861687,0,0
0,1,1,1.7397588385638607,1,1,1.139410402855217,2,1,0.6792945838081278,0,2
0,1,1,0.8175607187083667,0,0,-0.7346959991247785,2,1,-0.5609748304808925,1,2
0,3,0,-0.10463740114712752,0,0,-0.5523441521022427,1,0,-0.5609748304808925,1,1
0,2,1,0.5101613454232019,0,0,-0.4876386579974721,2,0,-0.5609748304808925,1,2
0,3,1,-1.0268355210026217,4,1,0.19912192715998075,2,0,2.5396987052416584,0,2
1,3,1,-0.33518693111100106,1,0,-0.551755920337654,2,0,0.059159876663617626,0,2
1,1,0,2.200857898491608,0,1,2.876164687803722,2,1,0.059159876663617626,0,3
1,1,0,0.4333115021019107,0,0,2.456656616715439,2,1,-0.5609748304808925,1,1
0,1,1,-0.10463740114712752,0,0,-0.005288611034635832,2,0,-0.5609748304808925,1,2
1,3,1,-0.33518693111100106,0,0,-0.7346959991247785,2,0,-0.5609748304808925,1,2
1,2,0,0.8944105620296577,0,1,-0.2758752227454952,2,0,0.059159876663617626,0,3
0,1,1,0.5870111887444931,0,1,-0.03587666279325473,0,1,0.059159876663617626,0,2
1,3,0,-0.10463740114712752,0,0,-0.5523441521022427,1,0,-0.5609748304808925,1,1
1,1,0,2.585107115098064,1,0,1.0996059358090202,2,1,0.059159876663617626,0,1
0,3,0,1.2018099353148226,0,0,-0.5523441521022427,2,0,-0.5609748304808925,1,1
0,2,1,-0.10463740114712752,0,0,-0.7346959991247785,2,0,-0.5609748304808925,1,2
0,3,1,-1.7184841108942424,4,1,-0.04940599337879768,1,0,2.5396987052416584,0,0
1,3,0,0.4333115021019107,1,1,-0.2582282698078304,2,0,0.6792945838081278,0,3
0,3,1,2.738806801740646,0,0,-0.5523441521022427,1,0,-0.5609748304808925,1,2
0,3,1,-0.10463740114712752,0,0,-0.5498924021074366,2,0,-0.5609748304808925,1,2
0,3,1,-1.0268355210026217,0,0,-0.5111679285810251,2,0,-0.5609748304808925,1,2
1,3,1,-0.7962859910387481,0,0,-0.5452853709271769,2,0,-0.5609748304808925,1,2
0,1,1,-0.10463740114712752,0,0,-0.12293496395240078,2,1,-0.5609748304808925,1,2
0,3,1,0.27961181545932834,0,0,-0.5308736926947507,0,0,-0.5609748304808925,1,2
1,3,1,0.04906228549545483,0,0,-0.5111679285810251,2,0,-0.5609748304808925,1,2
0,3,1,-0.5657364610748746,0,0,-0.5489135844511608,2,0,-0.5609748304808925,1,2
1,2,1,0.9712604053509489,0,0,-0.4288154815385896,2,0,-0.5609748304808925,1,2
1,3,0,-0.5657364610748746,0,0,-0.5523441521022427,1,0,-0.5609748304808925,1,1
1,1,0,-0.2583370877897099,0,0,1.1205869863883744,2,0,-0.5609748304808925,1,1
1,1,0,-0.7962859910387481,1,0,1.4083311422087608,0,1,0.059159876663617626,0,3
0,2,1,0.5101613454232019,0,0,-0.4317566403615337,0,1,-0.5609748304808925,1,2
0,3,0,-0.41203677443229225,0,0,-0.5264619544603346,2,0,-0.5609748304808925,1,1
0,3,1,-0.41203677443229225,0,0,-0.5489135844511608,2,0,-0.5609748304808925,1,2
0,1,1,-0.10463740114712752,0,0,-0.08244579513222278,0,0,-0.5609748304808925,1,2
